"","CountryCode","Ranking","Long Name","GDP"
"1","USA",1,"United States"," 16,244,600 "
"2","CHN",2,"China"," 8,227,103 "
"3","JPN",3,"Japan"," 5,959,718 "
"4","DEU",4,"Germany"," 3,428,131 "
"5","FRA",5,"France"," 2,612,878 "
"6","GBR",6,"United Kingdom"," 2,471,784 "
"7","BRA",7,"Brazil"," 2,252,664 "
"8","RUS",8,"Russian Federation"," 2,014,775 "
"9","ITA",9,"Italy"," 2,014,670 "
"10","IND",10,"India"," 1,841,710 "
"11","CAN",11,"Canada"," 1,821,424 "
"12","AUS",12,"Australia"," 1,532,408 "
"13","ESP",13,"Spain"," 1,322,965 "
"14","MEX",14,"Mexico"," 1,178,126 "
"15","KOR",15,"Korea, Rep."," 1,129,598 "
"16","IDN",16,"Indonesia"," 878,043 "
"17","TUR",17,"Turkey"," 789,257 "
"18","NLD",18,"Netherlands"," 770,555 "
"19","SAU",19,"Saudi Arabia"," 711,050 "
"20","CHE",20,"Switzerland"," 631,173 "
"21","SWE",21,"Sweden"," 523,806 "
"22","IRN",22,"Iran, Islamic Rep."," 514,060 "
"23","NOR",23,"Norway"," 499,667 "
"24","POL",24,"Poland"," 489,795 "
"25","BEL",25,"Belgium"," 483,262 "
"26","ARG",26,"Argentina"," 475,502 "
"27","AUT",27,"Austria"," 394,708 "
"28","ZAF",28,"South Africa"," 384,313 "
"29","VEN",29,"Venezuela, RB"," 381,286 "
"30","COL",30,"Colombia"," 369,606 "
"31","THA",31,"Thailand"," 365,966 "
"32","ARE",32,"United Arab Emirates"," 348,595 "
"33","DNK",33,"Denmark"," 314,887 "
"34","MYS",34,"Malaysia"," 305,033 "
"35","SGP",35,"Singapore"," 274,701 "
"36","CHL",36,"Chile"," 269,869 "
"37","HKG",37,"Hong Kong SAR, China"," 263,259 "
"38","EGY",38,"Egypt, Arab Rep."," 262,832 "
"39","NGA",39,"Nigeria"," 262,597 "
"40","ISR",40,"Israel"," 258,217 "
"41","PHL",41,"Philippines"," 250,182 "
"42","GRC",42,"Greece"," 249,099 "
"43","FIN",43,"Finland"," 247,546 "
"44","PAK",44,"Pakistan"," 225,143 "
"45","PRT",45,"Portugal"," 212,274 "
"46","IRL",46,"Ireland"," 210,771 "
"47","IRQ",47,"Iraq"," 210,280 "
"48","DZA",48,"Algeria"," 205,789 "
"49","PER",49,"Peru"," 203,790 "
"50","KAZ",50,"Kazakhstan"," 203,521 "
"51","CZE",51,"Czech Republic"," 196,446 "
"52","ROM",52,"Romania"," 192,711 "
"53","UKR",53,"Ukraine"," 176,309 "
"54","QAT",54,"Qatar"," 171,476 "
"55","NZL",55,"New Zealand"," 167,347 "
"56","KWT",56,"Kuwait"," 160,913 "
"57","VNM",57,"Vietnam"," 155,820 "
"58","HUN",58,"Hungary"," 124,600 "
"59","BGD",59,"Bangladesh"," 116,355 "
"60","AGO",60,"Angola"," 114,147 "
"61","PRI",61,"Puerto Rico"," 101,496 "
"62","MAR",62,"Morocco"," 95,982 "
"63","SVK",63,"Slovak Republic"," 91,149 "
"64","ECU",64,"Ecuador"," 84,040 "
"65","SYR",65,"Syrian Arab Republic"," 73,672 "
"66","OMN",66,"Oman"," 69,972 "
"67","CUB",67,"Cuba"," 68,234 "
"68","AZE",68,"Azerbaijan"," 66,605 "
"69","BLR",69,"Belarus"," 63,267 "
"70","LKA",70,"Sri Lanka"," 59,423 "
"71","HRV",71,"Croatia"," 59,228 "
"72","DOM",72,"Dominican Republic"," 59,047 "
"73","SDN",73,"Sudan"," 58,769 "
"74","LUX",74,"Luxembourg"," 55,178 "
"75","UZB",75,"Uzbekistan"," 51,113 "
"76","BGR",76,"Bulgaria"," 50,972 "
"77","GTM",77,"Guatemala"," 50,234 "
"78","URY",78,"Uruguay"," 49,920 "
"79","TUN",79,"Tunisia"," 45,662 "
"80","SVN",80,"Slovenia"," 45,279 "
"81","CRI",81,"Costa Rica"," 45,104 "
"82","MAC",82,"Macao SAR, China"," 43,582 "
"83","LBN",83,"Lebanon"," 42,945 "
"84","LTU",84,"Lithuania"," 42,344 "
"85","ETH",85,"Ethiopia"," 41,605 "
"86","GHA",86,"Ghana"," 40,711 "
"87","KEN",87,"Kenya"," 40,697 "
"88","SRB",88,"Serbia"," 37,489 "
"89","PAN",89,"Panama"," 36,253 "
"90","YEM",90,"Yemen, Rep."," 35,646 "
"91","TKM",91,"Turkmenistan"," 35,164 "
"92","JOR",92,"Jordan"," 31,015 "
"93","BHR",93,"Bahrain"," 29,044 "
"94","LVA",94,"Latvia"," 28,373 "
"95","TZA",95,"Tanzania"," 28,242 "
"96","BOL",96,"Bolivia"," 27,035 "
"97","PRY",97,"Paraguay"," 25,502 "
"98","CMR",98,"Cameroon"," 25,322 "
"99","CIV",99,"Côte d'Ivoire"," 24,680 "
"100","SLV",100,"El Salvador"," 23,864 "
"101","TTO",101,"Trinidad and Tobago"," 23,320 "
"102","CYP",102,"Cyprus"," 22,767 "
"103","EST",103,"Estonia"," 22,390 "
"104","ZMB",104,"Zambia"," 20,678 "
"105","AFG",105,"Afghanistan"," 20,497 "
"106","UGA",106,"Uganda"," 19,881 "
"107","NPL",107,"Nepal"," 18,963 "
"108","HND",108,"Honduras"," 18,434 "
"109","GAB",109,"Gabon"," 18,377 "
"110","GNQ",110,"Equatorial Guinea"," 17,697 "
"111","BIH",111,"Bosnia and Herzegovina"," 17,466 "
"112","ZAR",112,"Congo, Dem. Rep."," 17,204 "
"113","BRN",113,"Brunei Darussalam"," 16,954 "
"114","GEO",114,"Georgia"," 15,747 "
"115","PNG",115,"Papua New Guinea"," 15,654 "
"116","JAM",116,"Jamaica"," 14,755 "
"117","BWA",117,"Botswana"," 14,504 "
"118","MOZ",118,"Mozambique"," 14,244 "
"119","SEN",119,"Senegal"," 14,046 "
"120","KHM",120,"Cambodia"," 14,038 "
"121","COG",121,"Congo, Rep."," 13,678 "
"122","ISL",122,"Iceland"," 13,579 "
"123","NAM",123,"Namibia"," 13,072 "
"124","TCD",124,"Chad"," 12,887 "
"125","ALB",125,"Albania"," 12,648 "
"126","NIC",126,"Nicaragua"," 10,507 "
"127","MUS",127,"Mauritius"," 10,486 "
"128","BFA",128,"Burkina Faso"," 10,441 "
"129","MLI",129,"Mali"," 10,308 "
"130","MNG",130,"Mongolia"," 10,271 "
"131","SSD",131,"South Sudan"," 10,220 "
"132","MDG",132,"Madagascar"," 9,975 "
"133","ARM",133,"Armenia"," 9,951 "
"134","ZWE",134,"Zimbabwe"," 9,802 "
"135","MKD",135,"Macedonia, FYR"," 9,613 "
"136","LAO",136,"Lao PDR"," 9,418 "
"137","MLT",137,"Malta"," 8,722 "
"138","BHS",138,"Bahamas, The"," 8,149 "
"139","HTI",139,"Haiti"," 7,843 "
"140","BEN",140,"Benin"," 7,557 "
"141","MDA",141,"Moldova"," 7,253 "
"142","RWA",142,"Rwanda"," 7,103 "
"143","TJK",143,"Tajikistan"," 6,972 "
"144","NER",144,"Niger"," 6,773 "
"145","KGZ",145,"Kyrgyz Republic"," 6,475 "
"146","KSV",146,"Kosovo"," 6,445 "
"147","MCO",147,"Monaco"," 6,075 "
"148","GIN",148,"Guinea"," 5,632 "
"149","BMU",149,"Bermuda"," 5,474 "
"150","SUR",150,"Suriname"," 5,012 "
"151","MNE",151,"Montenegro"," 4,373 "
"152","MWI",152,"Malawi"," 4,264 "
"153","BRB",153,"Barbados"," 4,225 "
"154","MRT",154,"Mauritania"," 4,199 "
"155","FJI",155,"Fiji"," 3,908 "
"156","TGO",156,"Togo"," 3,814 "
"157","SLE",157,"Sierra Leone"," 3,796 "
"158","SWZ",158,"Swaziland"," 3,744 "
"159","ERI",159,"Eritrea"," 3,092 "
"160","GUY",160,"Guyana"," 2,851 "
"161","ABW",161,"Aruba"," 2,584 "
"162","BDI",162,"Burundi"," 2,472 "
"163","LSO",163,"Lesotho"," 2,448 "
"164","MDV",164,"Maldives"," 2,222 "
"165","CAF",165,"Central African Republic"," 2,184 "
"166","CPV",166,"Cape Verde"," 1,827 "
"167","BTN",167,"Bhutan"," 1,780 "
"168","LBR",168,"Liberia"," 1,734 "
"169","BLZ",169,"Belize"," 1,493 "
"170","TMP",170,"Timor-Leste"," 1,293 "
"171","LCA",171,"St. Lucia"," 1,239 "
"172","ATG",172,"Antigua and Barbuda"," 1,134 "
"173","SYC",173,"Seychelles"," 1,129 "
"174","SLB",174,"Solomon Islands"," 1,008 "
"175","GMB",175,"Gambia, The"," 917 "
"176","GNB",176,"Guinea-Bissau"," 822 "
"177","VUT",177,"Vanuatu"," 787 "
"178","GRD",178,"Grenada"," 767 "
"179","KNA",178,"St. Kitts and Nevis"," 767 "
"180","VCT",180,"St. Vincent and the Grenadines"," 713 "
"181","WSM",181,"Samoa"," 684 "
"182","COM",182,"Comoros"," 596 "
"183","DMA",183,"Dominica"," 480 "
"184","TON",184,"Tonga"," 472 "
"185","FSM",185,"Micronesia, Fed. Sts."," 326 "
"186","STP",186,"São Tomé and Principe"," 263 "
"187","PLW",187,"Palau"," 228 "
"188","MHL",188,"Marshall Islands"," 182 "
"189","KIR",189,"Kiribati"," 175 "
"190","TUV",190,"Tuvalu"," 40 "
